Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1950' to '1991' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Dec 2025 8:08:58 AM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1987,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1988,No,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1989,No,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,50,Yes,1990,No,New,0.35,0.35,17.5,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,50,Yes,1991,No,New,0.35,0.35,17.5,No
16141,Soviet Union,Afghanistan,BTR-152,armoured personnel carrier,Armoured vehicles,1958,No,50,Yes,1959,Yes,New,0.13,0.13,6.5,No
16141,Soviet Union,Afghanistan,BTR-152,armoured personnel carrier,Armoured vehicles,1958,No,50,Yes,1960,Yes,New,0.13,0.13,6.5,No
16145,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1961,Yes,16,Yes,1962,Yes,New,1.25,1.25,20,No
16145,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1961,Yes,17,Yes,1963,Yes,New,1.25,1.25,21.25,No
16145,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1961,Yes,17,Yes,1964,Yes,New,1.25,1.25,21.25,No
16147,Soviet Union,Afghanistan,T-54,tank,Armoured vehicles,1978,No,100,Yes,1978,Yes,Second hand,1.1,0.44,44,No
16147,Soviet Union,Afghanistan,T-54,tank,Armoured vehicles,1978,No,100,Yes,1979,Yes,Second hand,1.1,0.44,44,No
16138,Soviet Union,Afghanistan,BTR-40,armoured personnel carrier,Armoured vehicles,1958,Yes,50,Yes,1959,Yes,Second hand,0.12,0.05,2.4,No
16138,Soviet Union,Afghanistan,BTR-40,armoured personnel carrier,Armoured vehicles,1958,Yes,50,Yes,1960,Yes,Second hand,0.12,0.05,2.4,No
16135,Soviet Union,Afghanistan,BS-3 100mm,towed gun,Artillery,1958,Yes,50,Yes,1959,Yes,Second hand,0.35,0.14,7,No
